,country,clusters,total
790,Romania,22,0.0
791,Romania,23,0.0
792,Serbia,0,0.0
793,Serbia,1,0.0
794,Serbia,2,0.0
795,Serbia,3,0.0
796,Serbia,4,0.0
797,Serbia,5,0.0
798,Serbia,6,0.0
799,Serbia,7,0.0
800,Serbia,8,0.0
801,Serbia,9,0.0
802,Serbia,10,0.0
803,Serbia,11,0.0
804,Serbia,12,0.0
805,Serbia,13,0.0
806,Serbia,14,0.0
807,Serbia,15,0.0
808,Serbia,16,0.0
809,Serbia,17,0.0
810,Serbia,18,0.0
811,Serbia,19,0.0
812,Serbia,20,0.0
813,Serbia,21,0.0
814,Serbia,22,0.0
815,Serbia,23,0.0
816,Slovakia,0,0.0
817,Slovakia,1,0.0
818,Slovakia,2,0.0
819,Slovakia,3,0.0
820,Slovakia,4,0.0
821,Slovakia,5,0.0
822,Slovakia,6,0.0
823,Slovakia,7,0.0
824,Slovakia,8,0.0
825,Slovakia,9,0.0
826,Slovakia,10,0.0
827,Slovakia,11,0.0
828,Slovakia,12,0.0
829,Slovakia,13,0.0
830,Slovakia,14,0.0
831,Slovakia,15,0.0
832,Slovakia,16,0.0
833,Slovakia,17,0.0
834,Slovakia,18,0.0
835,Slovakia,19,0.0
836,Slovakia,20,0.0
837,Slovakia,21,0.0
838,Slovakia,22,0.0
839,Slovakia,23,0.0
840,Slovenia,0,0.0
841,Slovenia,1,0.0
842,Slovenia,2,0.0
843,Slovenia,3,0.0
844,Slovenia,4,0.0
845,Slovenia,5,0.0
846,Slovenia,6,0.0
847,Slovenia,7,0.0
848,Slovenia,8,0.0
849,Slovenia,9,0.0
850,Slovenia,10,0.0
851,Slovenia,11,0.0
852,Slovenia,12,0.0
853,Slovenia,13,0.0
854,Slovenia,14,0.0
855,Slovenia,15,0.0
856,Slovenia,16,0.0
857,Slovenia,17,0.0
858,Slovenia,18,0.0
859,Slovenia,19,0.0
860,Slovenia,20,0.0
861,Slovenia,21,0.0
862,Slovenia,22,0.0
863,Slovenia,23,0.0
864,South Africa,0,0.0
865,South Africa,1,0.02
866,South Africa,2,0.01
867,South Africa,3,0.0
868,South Africa,4,0.0
869,South Africa,5,0.0
870,South Africa,6,0.0
871,South Africa,7,0.01
872,South Africa,8,0.01
873,South Africa,9,0.0
874,South Africa,10,0.0
875,South Africa,11,0.0
876,South Africa,12,0.0
877,South Africa,13,0.02
878,South Africa,14,0.0
879,South Africa,15,0.01
880,South Africa,16,0.0
881,South Africa,17,0.02
882,South Africa,18,0.01
883,South Africa,19,0.0
884,South Africa,20,0.02
885,South Africa,21,0.01
886,South Africa,22,0.03
887,South Africa,23,0.0
888,Spain,0,0.01
889,Spain,1,0.08
890,Spain,2,0.01
891,Spain,3,0.0
892,Spain,4,0.0
893,Spain,5,0.0
894,Spain,6,0.0
895,Spain,7,0.02
896,Spain,8,0.04
897,Spain,9,0.0
898,Spain,10,0.0
899,Spain,11,0.07
900,Spain,12,0.01
901,Spain,13,0.06
902,Spain,14,0.0
903,Spain,15,0.14
904,Spain,16,0.0
905,Spain,17,0.03
906,Spain,18,0.01
907,Spain,19,0.04
908,Spain,20,0.03
909,Spain,21,0.35
910,Spain,22,0.04
911,Spain,23,0.0
912,Switzerland,0,0.0
913,Switzerland,1,0.0
914,Switzerland,2,0.0
915,Switzerland,3,0.0
916,Switzerland,4,0.0
917,Switzerland,5,0.0
918,Switzerland,6,0.0
919,Switzerland,7,0.0
920,Switzerland,8,0.0
921,Switzerland,9,0.0
922,Switzerland,10,0.0
923,Switzerland,11,0.0
924,Switzerland,12,0.0
925,Switzerland,13,0.0
926,Switzerland,14,0.0
927,Switzerland,15,0.0
928,Switzerland,16,0.0
929,Switzerland,17,0.0
930,Switzerland,18,0.0
931,Switzerland,19,0.0
932,Switzerland,20,0.0
933,Switzerland,21,0.0
934,Switzerland,22,0.0
935,Switzerland,23,0.0
936,Turkey,0,0.0
937,Turkey,1,0.0
938,Turkey,2,0.0
939,Turkey,3,0.0
940,Turkey,4,0.0
941,Turkey,5,0.01
942,Turkey,6,0.0
943,Turkey,7,0.0
944,Turkey,8,0.0
945,Turkey,9,0.0
946,Turkey,10,0.0
947,Turkey,11,0.0
948,Turkey,12,0.0
949,Turkey,13,0.0
950,Turkey,14,0.0
951,Turkey,15,0.0
952,Turkey,16,0.0
953,Turkey,17,0.0
954,Turkey,18,0.0
955,Turkey,19,0.0
956,Turkey,20,0.0
957,Turkey,21,0.0
958,Turkey,22,0.0
959,Turkey,23,0.0
960,US,0,0.64
961,US,1,0.4
962,US,2,0.55
963,US,3,0.03
964,US,4,0.06
965,US,5,0.67
966,US,6,0.02
967,US,7,0.63
968,US,8,0.35
969,US,9,0.03
970,US,10,0.99
971,US,11,0.49
972,US,12,0.63
973,US,13,0.46
974,US,14,1.0
975,US,15,0.44
976,US,16,0.78
977,US,17,0.6
978,US,18,0.78
979,US,19,0.81
980,US,20,0.53
981,US,21,0.07
982,US,22,0.51
983,US,23,0.12
984,Ukraine,0,0.0
985,Ukraine,1,0.0
986,Ukraine,2,0.0
987,Ukraine,3,0.0
988,Ukraine,4,0.0
989,Ukraine,5,0.0
990,Ukraine,6,0.0
991,Ukraine,7,0.0
