,country,variety,harvest,rating_cat,price,points,wineries,reviews
134,Argentina,Cabernet Sauvignon,2014,3,30.0,90.83333333333333,6,6
135,Argentina,Cabernet Sauvignon,2014,4,50.0,94.0,1,1
136,Argentina,Cabernet Sauvignon,2015,0,10.166666666666666,81.33333333333333,5,6
137,Argentina,Cabernet Sauvignon,2015,1,13.875,84.5,7,8
138,Argentina,Cabernet Sauvignon,2015,2,16.7,87.8,10,10
139,Argentina,Cabernet Sauvignon,2015,3,21.5,90.0,2,2
140,Argentina,Cabernet Sauvignon-Cabernet Franc,2006,1,18.0,84.0,1,1
141,Argentina,Cabernet Sauvignon-Malbec,2006,0,8.0,82.0,1,1
142,Argentina,Cabernet Sauvignon-Malbec,2007,0,10.0,81.0,1,1
143,Argentina,Cabernet Sauvignon-Malbec,2009,0,12.0,80.0,1,1
144,Argentina,Cabernet Sauvignon-Malbec,2009,2,13.0,88.0,1,1
145,Argentina,Cabernet Sauvignon-Malbec,2010,3,135.0,93.0,1,1
146,Argentina,Cabernet Sauvignon-Malbec,2011,0,9.0,82.0,1,2
147,Argentina,Cabernet Sauvignon-Malbec,2011,3,75.0,92.0,1,1
148,Argentina,Cabernet Sauvignon-Malbec,2012,2,40.0,87.0,1,1
149,Argentina,Cabernet Sauvignon-Malbec,2013,4,125.0,94.0,1,1
150,Argentina,Cabernet Sauvignon-Malbec,2014,2,25.0,87.0,1,1
151,Argentina,Cabernet Sauvignon-Malbec,2014,4,74.0,95.0,1,1
152,Argentina,Cabernet Sauvignon-Merlot,2004,2,50.0,87.0,1,1
153,Argentina,Cabernet Sauvignon-Merlot,2006,2,10.0,89.0,1,1
154,Argentina,Cabernet Sauvignon-Merlot,2008,1,10.0,86.0,1,1
155,Argentina,Cabernet Sauvignon-Merlot,2009,1,13.0,85.0,1,1
156,Argentina,Cabernet Sauvignon-Merlot,2010,2,12.0,88.0,1,1
157,Argentina,Cabernet Sauvignon-Shiraz,2005,2,9.0,88.0,1,1
158,Argentina,Cabernet Sauvignon-Shiraz,2010,1,10.0,85.0,1,1
159,Argentina,Cabernet Sauvignon-Shiraz,2011,1,11.0,83.0,1,1
160,Argentina,Cabernet Sauvignon-Syrah,2008,2,21.0,87.0,1,1
161,Argentina,Cabernet Sauvignon-Syrah,2010,1,9.0,85.0,1,1
162,Argentina,Cabernet-Malbec,2014,1,11.0,86.0,1,1
163,Argentina,Cabernet-Syrah,2010,2,16.0,88.0,1,1
164,Argentina,Champagne Blend,2015,2,25.0,87.0,1,1
165,Argentina,Chardonnay,2005,2,12.0,87.0,1,1
166,Argentina,Chardonnay,2005,3,35.0,92.0,1,1
167,Argentina,Chardonnay,2006,0,9.75,81.0,4,4
168,Argentina,Chardonnay,2006,1,11.333333333333334,84.33333333333333,7,9
169,Argentina,Chardonnay,2006,2,19.0,88.0,1,1
170,Argentina,Chardonnay,2007,0,10.75,81.25,4,4
171,Argentina,Chardonnay,2007,1,13.846153846153847,84.76923076923077,13,13
172,Argentina,Chardonnay,2007,2,27.5,87.75,4,4
173,Argentina,Chardonnay,2008,0,16.0,82.0,1,1
174,Argentina,Chardonnay,2008,1,12.066666666666666,84.73333333333333,14,15
175,Argentina,Chardonnay,2008,2,35.666666666666664,87.33333333333333,2,3
176,Argentina,Chardonnay,2009,0,16.333333333333332,80.66666666666667,3,3
177,Argentina,Chardonnay,2009,1,13.238095238095237,84.23809523809524,20,21
178,Argentina,Chardonnay,2009,2,15.5,87.5,2,2
179,Argentina,Chardonnay,2009,3,74.0,91.0,1,2
180,Argentina,Chardonnay,2010,1,13.882352941176471,84.41176470588235,17,17
181,Argentina,Chardonnay,2010,2,19.428571428571427,87.28571428571429,6,7
182,Argentina,Chardonnay,2010,3,35.0,91.0,1,1
183,Argentina,Chardonnay,2011,0,15.333333333333334,81.33333333333333,9,9
184,Argentina,Chardonnay,2011,1,14.176470588235293,84.72222222222223,18,18
