,country,province,region_1,variety,price
159,Argentina,Mendoza Province,Valle de Uco,Cabernet Sauvignon,8
160,Argentina,Mendoza Province,Valle de Uco,Chardonnay,4
161,Argentina,Mendoza Province,Valle de Uco,Malbec,40
162,Argentina,Mendoza Province,Valle de Uco,Malbec-Cabernet Sauvignon,1
163,Argentina,Mendoza Province,Valle de Uco,Malbec-Petit Verdot,2
164,Argentina,Mendoza Province,Valle de Uco,Pinot Gris,2
165,Argentina,Mendoza Province,Valle de Uco,Red Blend,11
166,Argentina,Mendoza Province,Valle de Uco,Rosado,2
167,Argentina,Mendoza Province,Valle de Uco,Rosé,2
168,Argentina,Mendoza Province,Valle de Uco,Sauvignon Blanc,1
169,Argentina,Mendoza Province,Valle de Uco,Sparkling Blend,3
170,Argentina,Mendoza Province,Valle de Uco,Torrontés,2
171,Argentina,Mendoza Province,Vista Flores,Bordeaux-style Red Blend,2
172,Argentina,Mendoza Province,Vista Flores,Cabernet Sauvignon,3
173,Argentina,Mendoza Province,Vista Flores,Malbec,5
174,Argentina,Mendoza Province,Vista Flores,Pinot Noir,2
175,Argentina,Mendoza Province,Vista Flores,Sparkling Blend,2
176,Argentina,Mendoza Province,Vista Flores,Viognier,4
177,Argentina,Mendoza Province,Vista Flores,White Blend,2
178,Argentina,Other,Alto Valle del Río Negro,Cabernet Franc,3
179,Argentina,Other,Alto Valle del Río Negro,Chardonnay,7
180,Argentina,Other,Alto Valle del Río Negro,Malbec,6
181,Argentina,Other,Alto Valle del Río Negro,Pinot Noir,6
182,Argentina,Other,Alto Valle del Río Negro,Red Blend,1
183,Argentina,Other,Alto Valle del Río Negro,Sauvignon Blanc,1
184,Argentina,Other,Argentina,Bonarda,3
185,Argentina,Other,Argentina,Bordeaux-style Red Blend,1
186,Argentina,Other,Argentina,Cabernet Sauvignon,4
187,Argentina,Other,Argentina,Cabernet Sauvignon-Syrah,1
188,Argentina,Other,Argentina,Chardonnay,2
189,Argentina,Other,Argentina,Malbec,10
190,Argentina,Other,Argentina,Malbec-Bonarda,1
191,Argentina,Other,Argentina,Malbec-Cabernet Sauvignon,1
192,Argentina,Other,Argentina,Moscato,1
193,Argentina,Other,Argentina,Red Blend,1
194,Argentina,Other,Argentina,Sauvignon Blanc,1
195,Argentina,Other,Argentina,Sparkling Blend,5
196,Argentina,Other,Argentina,Syrah,2
197,Argentina,Other,Argentina,Torrontés,3
198,Argentina,Other,Buenos Aires,Chardonnay,1
199,Argentina,Other,Buenos Aires,Pinot Noir,1
200,Argentina,Other,Buenos Aires,Sauvignon Blanc,1
